תאריך,הגרלה,תלתן,יהלום,לב,עלה
29/07/1994,121,A,7,7,7,
31/07/1994,122,A,J,A,J,
01/08/1994,123,7,K,A,Q,
02/08/1994,124,Q,10,7,8,
03/08/1994,125,Q,7,J,J,
04/08/1994,126,9,7,7,Q,
05/08/1994,127,9,10,10,8,
07/08/1994,128,7,10,Q,A,
08/08/1994,129,9,10,J,Q,
09/08/1994,130,J,K,9,10,
10/08/1994,131,Q,A,Q,Q,
11/08/1994,132,7,8,8,9,
12/08/1994,133,9,9,Q,J,
14/08/1994,134,K,10,K,9,
15/08/1994,135,J,K,J,J,
16/08/1994,136,7,9,9,A,
17/08/1994,137,J,7,7,K,
18/08/1994,138,Q,A,J,10,
19/08/1994,139,7,9,Q,K,
21/08/1994,140,J,10,8,A,
22/08/1994,141,Q,7,K,10,
23/08/1994,142,10,7,K,8,
24/08/1994,143,J,A,A,A,
25/08/1994,144,K,7,K,A,
26/08/1994,145,A,Q,10,8,
28/08/1994,146,9,A,7,K,
29/08/1994,147,7,7,10,8,
30/08/1994,148,Q,9,7,A,
31/08/1994,149,10,J,Q,9,
01/09/1994,150,10,J,K,A,
02/09/1994,151,Q,A,J,Q,
04/09/1994,152,K,K,8,J,
05/09/1994,153,10,K,7,J,
08/09/1994,154,10,Q,8,J,
09/09/1994,155,K,A,Q,Q,
11/09/1994,156,A,J,J,Q,
12/09/1994,157,7,10,9,J,
13/09/1994,158,7,10,8,7,
14/09/1994,159,Q,J,A,9,
16/09/1994,160,10,10,A,Q,
18/09/1994,161,9,J,10,K,
19/09/1994,162,7,Q,Q,10,
21/09/1994,163,Q,K,K,Q,
22/09/1994,164,9,K,Q,10,
23/09/1994,165,A,9,9,J,
25/09/1994,166,K,A,7,K,
26/09/1994,167,Q,K,8,8,
28/09/1994,168,J,10,K,J,
29/09/1994,169,7,9,10,7,
30/09/1994,170,7,J,Q,7,
02/10/1994,171,K,A,J,A,
03/10/1994,172,8,7,7,10,
04/10/1994,173,7,7,7,A,
05/10/1994,174,A,Q,10,A,
06/10/1994,175,J,7,7,7,
07/10/1994,176,7,J,Q,A,
09/10/1994,177,8,8,10,8,
10/10/1994,178,K,7,J,8,
11/10/1994,179,8,J,10,Q,
12/10/1994,180,Q,K,9,7,
13/10/1994,181,8,J,Q,9,
14/10/1994,182,J,7,10,J,
16/10/1994,183,7,Q,9,10,
17/10/1994,184,J,9,8,9,
18/10/1994,185,Q,K,10,J,
19/10/1994,186,9,10,10,A,
20/10/1994,187,7,8,Q,7,
21/10/1994,188,A,J,J,A,
23/10/1994,189,9,A,10,9,
24/10/1994,190,A,8,A,K,
25/10/1994,191,10,9,10,7,
26/10/1994,192,9,8,Q,Q,
27/10/1994,193,8,K,Q,K,
28/10/1994,194,7,9,9,A,
30/10/1994,195,7,A,8,8,
31/10/1994,196,A,8,10,J,
01/11/1994,197,9,J,7,K,
02/11/1994,198,K,10,8,9,
03/11/1994,199,Q,J,10,10,
04/11/1994,200,8,8,7,J,
06/11/1994,201,K,7,Q,Q,
07/11/1994,202,A,K,K,J,
08/11/1994,203,9,Q,J,J,
09/11/1994,204,9,8,7,Q,
10/11/1994,205,8,8,J,9,
11/11/1994,206,A,A,9,9,
13/11/1994,207,J,7,9,K,
14/11/1994,208,K,10,J,7,
15/11/1994,209,A,9,J,J,
16/11/1994,210,9,A,9,9,
17/11/1994,211,Q,Q,J,A,
18/11/1994,212,10,K,J,Q,
20/11/1994,213,8,8,10,Q,
21/11/1994,214,10,Q,J,8,
22/11/1994,215,J,A,A,Q,
23/11/1994,216,7,10,9,10,
24/11/1994,217,7,J,Q,J,
25/11/1994,218,9,K,9,J,
27/11/1994,219,7,J,J,10,
28/11/1994,220,9,Q,7,10,
29/11/1994,221,7,J,9,K,
30/11/1994,222,7,Q,10,9,
01/12/1994,223,7,Q,7,10,
02/12/1994,224,8,9,7,K,
04/12/1994,225,Q,7,9,J,
05/12/1994,226,10,9,10,10,
06/12/1994,227,9,Q,J,J,
07/12/1994,228,9,A,A,10,
08/12/1994,229,10,9,J,A,
09/12/1994,230,A,10,10,7,
11/12/1994,231,K,7,Q,A,
12/12/1994,232,A,A,8,A,
13/12/1994,233,10,K,9,A,
14/12/1994,234,9,K,8,K,
15/12/1994,235,A,K,Q,10,
16/12/1994,236,8,10,Q,7,
18/12/1994,237,9,J,J,J,
19/12/1994,238,7,K,Q,7,
20/12/1994,239,K,Q,A,J,
21/12/1994,240,Q,K,7,J,
22/12/1994,241,K,8,10,Q,
23/12/1994,242,Q,7,Q,J,
25/12/1994,243,9,A,9,Q,
26/12/1994,244,7,K,9,K,
27/12/1994,245,A,K,K,Q,
28/12/1994,246,J,Q,K,K,
29/12/1994,247,A,J,K,J,
30/12/1994,248,K,10,J,7,
01/01/1995,1,Q,8,10,J,
02/01/1995,2,8,Q,Q,A,
03/01/1995,3,7,9,9,K,
04/01/1995,4,K,A,7,Q,
05/01/1995,5,K,7,10,7,
06/01/1995,6,7,A,9,9,
08/01/1995,7,J,J,Q,Q,
09/01/1995,8,9,J,9,10,
10/01/1995,9,J,J,Q,8,
11/01/1995,10,8,A,Q,9,
12/01/1995,11,9,Q,9,Q,
13/01/1995,12,10,A,Q,J,
15/01/1995,13,9,8,9,10,
16/01/1995,14,Q,10,9,7,
17/01/1995,15,J,Q,J,8,
18/01/1995,16,10,9,A,Q,
19/01/1995,17,J,J,A,8,
20/01/1995,18,8,8,Q,K,
22/01/1995,19,9,K,J,Q,
23/01/1995,20,A,8,Q,9,
24/01/1995,21,10,A,7,Q,
25/01/1995,22,8,9,10,Q,
26/01/1995,23,10,A,J,7,
27/01/1995,24,9,7,Q,A,
29/01/1995,25,10,K,J,K,
30/01/1995,26,K,8,9,7,
31/01/1995,27,J,8,K,9,
01/02/1995,28,J,7,A,J,
02/02/1995,29,A,J,9,A,
03/02/1995,30,10,Q,9,9,
05/02/1995,31,7,9,7,9,
06/02/1995,32,10,K,J,7,
07/02/1995,33,8,A,9,9,
08/02/1995,34,K,10,A,8,
09/02/1995,35,J,J,10,8,
10/02/1995,36,J,J,9,7,
12/02/1995,37,Q,A,7,A,
13/02/1995,38,8,K,9,7,
14/02/1995,39,8,J,10,10,
15/02/1995,40,K,K,7,8,
16/02/1995,41,A,7,K,J,
17/02/1995,42,J,7,K,8,
19/02/1995,43,9,9,9,A,
20/02/1995,44,7,7,Q,K,
21/02/1995,45,7,7,9,10,
22/02/1995,46,9,7,10,K,
23/02/1995,47,Q,8,10,7,
24/02/1995,48,7,8,Q,7,
26/02/1995,49,Q,7,10,A,
27/02/1995,50,8,10,7,8,
28/02/1995,51,A,K,7,A,
01/03/1995,52,7,8,8,7,
02/03/1995,53,7,8,7,8,
03/03/1995,54,7,7,7,7,
05/03/1995,55,K,10,9,8,
06/03/1995,56,Q,9,A,10,
07/03/1995,57,10,J,A,8,
08/03/1995,58,7,10,Q,A,
09/03/1995,59,J,10,7,K,
10/03/1995,60,8,A,9,9,
12/03/1995,61,A,J,A,9,
13/03/1995,62,A,K,8,K,
14/03/1995,63,7,Q,7,Q,
15/03/1995,64,Q,Q,Q,10,
16/03/1995,65,7,A,8,Q,
17/03/1995,66,8,K,8,8,
19/03/1995,67,A,10,7,8,
20/03/1995,68,8,10,A,9,
21/03/1995,69,7,K,10,10,
22/03/1995,70,Q,K,J,A,
23/03/1995,71,8,10,7,7,
24/03/1995,72,A,A,7,10,
26/03/1995,73,10,9,A,9,
27/03/1995,74,7,J,10,10,
28/03/1995,75,A,A,Q,K,
29/03/1995,76,9,A,K,7,
30/03/1995,77,A,9,K,Q,
31/03/1995,78,A,7,J,10,
02/04/1995,79,Q,A,9,8,
03/04/1995,80,8,J,Q,9,
04/04/1995,81,J,K,Q,Q,
05/04/1995,82,J,8,K,K,
06/04/1995,83,Q,A,9,7,
07/04/1995,84,J,K,10,Q,
09/04/1995,85,A,K,10,10,
10/04/1995,86,8,A,J,A,
11/04/1995,87,10,A,8,9,
12/04/1995,88,8,J,9,7,
13/04/1995,89,8,Q,K,10,
14/04/1995,90,8,7,Q,10,
16/04/1995,91,J,K,K,A,
17/04/1995,92,7,10,A,9,
18/04/1995,93,9,A,10,8,
19/04/1995,94,K,9,K,10,
20/04/1995,95,Q,K,J,10,
23/04/1995,96,K,Q,7,9,
24/04/1995,97,8,7,7,10,
25/04/1995,98,7,9,10,J,
26/04/1995,99,7,8,8,9,
27/04/1995,100,10,A,K,10,
28/04/1995,101,9,K,8,A,
30/04/1995,102,K,8,9,J,
01/05/1995,103,K,K,7,9,
02/05/1995,104,K,7,9,7,
03/05/1995,105,9,K,Q,8,
04/05/1995,106,K,7,J,A,
05/05/1995,107,Q,10,7,9,
07/05/1995,108,J,Q,J,Q,
08/05/1995,109,A,J,A,10,
09/05/1995,110,J,A,A,8,
10/05/1995,111,10,10,Q,8,
11/05/1995,112,7,K,7,10,
12/05/1995,113,J,A,Q,K,
14/05/1995,114,A,J,J,10,
15/05/1995,115,7,8,Q,9,
16/05/1995,116,Q,10,8,9,
17/05/1995,117,A,7,A,J,
18/05/1995,118,J,J,10,J,
19/05/1995,119,9,A,Q,K,
21/05/1995,120,K,9,8,8,
22/05/1995,121,J,J,K,10,
23/05/1995,122,Q,J,7,10,
24/05/1995,123,A,A,9,9,
25/05/1995,124,A,9,K,9,
26/05/1995,125,7,Q,A,8,
28/05/1995,126,J,K,K,10,
29/05/1995,127,K,9,10,9,
30/05/1995,128,8,7,K,7,
31/05/1995,129,Q,7,9,8,
01/06/1995,130,9,J,9,K,
02/06/1995,131,9,9,8,K,
05/06/1995,132,K,A,Q,10,
06/06/1995,133,8,J,K,10,
07/06/1995,134,A,10,J,8,
08/06/1995,135,J,10,10,9,
09/06/1995,136,10,K,Q,K,
11/06/1995,137,A,Q,J,10,
12/06/1995,138,Q,9,J,Q,
13/06/1995,139,K,A,A,9,
14/06/1995,140,9,Q,A,8,
15/06/1995,141,Q,A,8,Q,
16/06/1995,142,7,K,7,K,
18/06/1995,143,10,K,Q,J,
19/06/1995,144,8,8,J,7,
20/06/1995,145,7,A,A,8,
21/06/1995,146,Q,8,9,9,
22/06/1995,147,9,7,K,K,
23/06/1995,148,8,10,7,7,
25/06/1995,149,Q,J,7,A,
26/06/1995,150,J,7,Q,10,
27/06/1995,151,8,K,A,9,
28/06/1995,152,Q,10,A,K,
29/06/1995,153,J,J,10,7,
30/06/1995,154,7,A,7,J,
02/07/1995,155,J,8,Q,K,
03/07/1995,156,Q,9,Q,J,
04/07/1995,157,K,8,J,Q,
05/07/1995,158,Q,Q,7,K,
06/07/1995,159,K,K,J,K,
07/07/1995,160,8,7,10,A,
09/07/1995,161,10,7,9,9,
10/07/1995,162,8,Q,9,K,
11/07/1995,163,8,K,10,J,
12/07/1995,164,Q,7,A,A,
13/07/1995,165,Q,10,A,J,
14/07/1995,166,9,Q,A,K,
16/07/1995,167,10,10,A,K,
17/07/1995,168,K,J,10,Q,
18/07/1995,169,9,J,8,9,
19/07/1995,170,9,9,8,10,
20/07/1995,171,9,Q,J,8,
21/07/1995,172,A,7,J,7,
23/07/1995,173,7,9,Q,A,
24/07/1995,174,9,A,9,7,
25/07/1995,175,8,10,J,Q,
26/07/1995,176,7,7,10,Q,
27/07/1995,177,10,8,8,J,
28/07/1995,178,K,9,Q,9,
30/07/1995,179,10,9,10,10,
31/07/1995,180,9,J,K,10,
01/08/1995,181,Q,Q,9,J,
02/08/1995,182,9,9,7,Q,
03/08/1995,183,9,7,J,8,
04/08/1995,184,8,9,K,Q,
06/08/1995,185,10,10,10,A,
07/08/1995,186,8,J,10,K,
08/08/1995,187,7,J,10,9,
09/08/1995,188,Q,Q,7,A,
10/08/1995,189,Q,Q,7,K,
11/08/1995,190,Q,K,9,10,
13/08/1995,191,8,9,Q,J,
14/08/1995,192,8,A,A,10,
15/08/1995,193,A,Q,K,Q,
16/08/1995,194,K,9,8,A,
17/08/1995,195,9,Q,J,10,
18/08/1995,196,7,A,7,Q,
20/08/1995,197,J,9,Q,10,
21/08/1995,198,Q,Q,8,8,
22/08/1995,199,8,J,J,Q,
23/08/1995,200,10,Q,10,Q,
24/08/1995,201,J,8,7,8,
25/08/1995,202,Q,K,J,A,
27/08/1995,203,K,K,Q,10,
28/08/1995,204,9,Q,K,10,
29/08/1995,205,9,A,8,8,
30/08/1995,206,K,Q,A,10,
31/08/1995,207,K,J,10,10,
01/09/1995,208,7,8,9,J,
03/09/1995,209,K,J,J,K,
04/09/1995,210,9,9,Q,A,
05/09/1995,211,A,8,A,Q,
06/09/1995,212,A,8,A,K,
07/09/1995,213,A,A,10,Q,
08/09/1995,214,K,9,Q,8,
10/09/1995,215,10,J,J,10,
11/09/1995,216,10,8,K,Q,
12/09/1995,217,J,K,A,9,
13/09/1995,218,7,J,A,K,
14/09/1995,219,K,7,A,10,
15/09/1995,220,K,K,K,Q,
17/09/1995,221,J,A,J,8,
18/09/1995,222,A,Q,10,10,
19/09/1995,223,K,Q,Q,Q,
20/09/1995,224,K,J,J,7,
21/09/1995,225,9,7,8,8,
22/09/1995,226,Q,10,A,10,
24/09/1995,227,K,A,8,8,
27/09/1995,228,7,Q,J,J,
28/09/1995,229,A,10,10,K,
29/09/1995,230,9,Q,Q,8,
01/10/1995,231,A,8,10,J,
02/10/1995,232,A,J,7,K,
03/10/1995,233,J,A,10,Q,
05/10/1995,234,7,A,A,9,
06/10/1995,235,K,K,K,10,
08/10/1995,236,J,7,K,8,
10/10/1995,237,J,8,J,A,
11/10/1995,238,9,8,K,9,
12/10/1995,239,K,J,10,Q,
13/10/1995,240,A,8,A,9,
15/10/1995,241,7,Q,10,8,
17/10/1995,242,K,K,A,10,
18/10/1995,243,J,A,8,9,
19/10/1995,244,J,10,A,Q,
20/10/1995,245,Q,A,10,J,
22/10/1995,246,A,A,10,A,
23/10/1995,247,10,8,J,J,
24/10/1995,248,9,Q,K,Q,
25/10/1995,249,Q,J,7,9,
26/10/1995,250,7,10,A,10,
27/10/1995,251,K,8,Q,9,
29/10/1995,252,9,8,A,K,
30/10/1995,253,7,A,8,Q,
31/10/1995,254,Q,7,8,K,
01/11/1995,255,10,9,J,9,
02/11/1995,256,J,10,K,A,
03/11/1995,257,J,K,8,7,
05/11/1995,258,K,8,J,K,
06/11/1995,259,10,Q,8,K,
07/11/1995,260,9,8,7,A,
08/11/1995,261,J,A,A,K,
09/11/1995,262,Q,J,K,8,
10/11/1995,263,A,9,10,J,
12/11/1995,264,7,J,J,8,
13/11/1995,265,9,J,9,Q,
14/11/1995,266,8,A,Q,10,
15/11/1995,267,7,A,Q,Q,
16/11/1995,268,Q,8,K,9,
17/11/1995,269,7,9,K,Q,
19/11/1995,270,7,J,7,7,
20/11/1995,271,K,A,A,K,
21/11/1995,272,8,10,J,A,
22/11/1995,273,J,10,7,7,
23/11/1995,274,K,10,A,9,
24/11/1995,275,7,A,9,8,
26/11/1995,276,J,9,K,A,
27/11/1995,277,9,K,8,Q,
28/11/1995,278,8,Q,9,8,
29/11/1995,279,J,A,Q,7,
30/11/1995,280,J,10,Q,9,
01/12/1995,281,8,10,8,Q,
03/12/1995,282,J,10,9,7,
04/12/1995,283,7,8,K,8,
05/12/1995,284,8,10,8,8,
06/12/1995,285,J,10,Q,J,
07/12/1995,286,7,K,A,10,
08/12/1995,287,8,9,A,K,
10/12/1995,288,10,8,10,J,
11/12/1995,289,A,9,7,K,
12/12/1995,290,9,8,9,J,
13/12/1995,291,J,K,J,Q,
14/12/1995,292,K,J,9,Q,
15/12/1995,293,J,K,J,9,
17/12/1995,294,Q,J,Q,8,
18/12/1995,295,J,7,9,8,
19/12/1995,296,7,K,J,K,
20/12/1995,297,10,K,A,A,
21/12/1995,298,K,A,9,7,
22/12/1995,299,Q,9,9,Q,
24/12/1995,300,8,8,10,Q,
25/12/1995,301,A,A,A,Q,
26/12/1995,302,9,8,10,8,
27/12/1995,303,9,8,Q,9,
28/12/1995,304,8,9,10,J,
29/12/1995,305,9,7,J,J,
31/12/1995,306,K,8,9,9,
01/01/1996,1,Q,Q,Q,10,
02/01/1996,2,J,9,K,7,
03/01/1996,3,8,8,A,J,
04/01/1996,4,J,10,7,Q,
05/01/1996,5,10,7,J,A,
07/01/1996,6,Q,J,10,8,
08/01/1996,7,8,J,10,Q,
09/01/1996,8,J,Q,K,7,
10/01/1996,9,A,Q,7,K,
11/01/1996,10,8,A,J,8,
12/01/1996,11,9,8,7,10,
14/01/1996,12,Q,10,J,K,
15/01/1996,13,10,K,J,9,
16/01/1996,14,A,7,7,10,
17/01/1996,15,A,K,7,A,
18/01/1996,16,J,9,K,K,
19/01/1996,17,A,8,A,J,
21/01/1996,18,J,K,A,A,
22/01/1996,19,7,J,7,A,
23/01/1996,20,A,K,Q,Q,
24/01/1996,21,A,Q,J,8,
25/01/1996,22,10,K,Q,K,
26/01/1996,23,7,10,7,9,
28/01/1996,24,J,7,8,9,
29/01/1996,25,8,Q,A,Q,
30/01/1996,26,J,9,10,A,
31/01/1996,27,A,10,J,K,
01/02/1996,28,A,A,Q,10,
02/02/1996,29,9,10,9,Q,
04/02/1996,30,8,8,A,A,
05/02/1996,31,K,A,A,8,
06/02/1996,32,K,K,8,Q,
07/02/1996,33,10,A,K,8,
08/02/1996,34,9,7,A,Q,
09/02/1996,35,9,9,J,J,
11/02/1996,36,J,9,9,9,
12/02/1996,37,A,Q,A,9,
13/02/1996,38,K,10,10,K,
14/02/1996,39,10,J,K,K,
15/02/1996,40,8,J,9,Q,
16/02/1996,41,A,Q,8,9,
18/02/1996,42,Q,10,10,9,
19/02/1996,43,Q,10,A,Q,
20/02/1996,44,7,A,9,J,
21/02/1996,45,8,A,10,10,
22/02/1996,46,Q,Q,J,A,
23/02/1996,47,7,J,K,8,
25/02/1996,48,9,7,10,A,
26/02/1996,49,9,7,K,9,
27/02/1996,50,J,10,K,A,
28/02/1996,51,10,8,7,Q,
29/02/1996,52,10,J,J,J,
01/03/1996,53,10,7,J,7,
03/03/1996,54,8,A,9,10,
04/03/1996,55,A,7,Q,Q,
05/03/1996,56,A,J,K,A,
06/03/1996,57,Q,K,A,A,
07/03/1996,58,J,10,K,K,
08/03/1996,59,J,K,Q,10,
10/03/1996,60,8,7,9,Q,
11/03/1996,61,A,9,7,7,
12/03/1996,62,8,K,7,K,
13/03/1996,63,Q,10,K,8,
14/03/1996,64,K,A,Q,10,
15/03/1996,65,9,9,9,K,
17/03/1996,66,8,8,J,Q,
18/03/1996,67,10,J,7,7,
19/03/1996,68,J,K,8,Q,
20/03/1996,69,K,7,7,A,
21/03/1996,70,A,K,9,J,
22/03/1996,71,10,J,J,A,
24/03/1996,72,8,8,A,K,
25/03/1996,73,10,J,A,7,
26/03/1996,74,J,10,A,K,
27/03/1996,75,Q,8,A,10,
28/03/1996,76,K,8,Q,8,
29/03/1996,77,7,J,8,A,
31/03/1996,78,J,Q,8,10,
01/04/1996,79,K,Q,8,10,
02/04/1996,80,10,A,9,A,
03/04/1996,81,J,K,A,9,
05/04/1996,82,Q,Q,7,7,
07/04/1996,83,8,Q,8,J,
08/04/1996,84,10,J,7,8,
09/04/1996,85,8,Q,A,Q,
11/04/1996,86,J,Q,J,8,
12/04/1996,87,7,Q,Q,Q,
14/04/1996,88,J,9,10,A,
15/04/1996,89,8,J,10,Q,
16/04/1996,90,A,Q,K,8,
17/04/1996,91,8,8,A,8,
18/04/1996,92,Q,A,J,K,
19/04/1996,93,A,J,9,A,
21/04/1996,94,8,Q,J,A,
22/04/1996,95,A,J,10,9,
23/04/1996,96,7,K,Q,7,
24/04/1996,97,Q,10,9,J,
25/04/1996,98,A,10,J,7,
26/04/1996,99,9,9,8,Q,
28/04/1996,100,7,Q,9,J,
29/04/1996,101,A,9,9,A,
30/04/1996,102,9,Q,J,10,
01/05/1996,103,10,K,7,J,
02/05/1996,104,9,K,A,A,
03/05/1996,105,7,A,J,Q,
05/05/1996,106,8,9,A,8,
06/05/1996,107,J,7,A,8,
07/05/1996,108,J,8,K,Q,
08/05/1996,109,J,K,8,8,
09/05/1996,110,K,Q,8,8,
10/05/1996,111,A,J,K,A,
12/05/1996,112,K,J,8,A,
13/05/1996,113,8,8,9,Q,
14/05/1996,114,10,10,J,7,
15/05/1996,115,7,J,9,A,
16/05/1996,116,Q,Q,8,K,
17/05/1996,117,8,9,J,A,
19/05/1996,118,10,10,A,8,
20/05/1996,119,8,10,K,J,
21/05/1996,120,10,7,7,A,
22/05/1996,121,K,A,K,J,
23/05/1996,122,J,7,J,8,
26/05/1996,123,7,K,K,9,
27/05/1996,124,10,A,J,K,
28/05/1996,125,10,J,Q,8,
29/05/1996,126,Q,A,8,10,
30/05/1996,127,8,J,Q,J,
31/05/1996,128,8,K,K,10,
02/06/1996,129,A,Q,Q,Q,
03/06/1996,130,10,7,7,A,
04/06/1996,131,K,K,10,Q,
05/06/1996,132,8,K,9,Q,
06/06/1996,133,8,J,9,9,
07/06/1996,134,9,Q,K,J,
09/06/1996,135,7,J,Q,9,
10/06/1996,136,J,9,K,Q,
11/06/1996,137,Q,9,7,J,
12/06/1996,138,9,9,K,K,
13/06/1996,139,8,Q,Q,K,
14/06/1996,140,9,A,10,9,
16/06/1996,141,K,A,9,A,
17/06/1996,142,J,Q,K,10,
18/06/1996,143,J,9,K,9,
19/06/1996,144,K,8,K,K,
20/06/1996,145,9,8,A,A,
21/06/1996,146,8,J,7,A,
23/06/1996,147,8,J,Q,J,
24/06/1996,148,7,J,10,K,
25/06/1996,149,8,9,A,8,
26/06/1996,150,7,J,J,9,
27/06/1996,151,10,A,Q,A,
28/06/1996,152,A,9,10,8,
30/06/1996,153,K,9,K,Q,
01/07/1996,154,K,9,Q,9,
02/07/1996,155,A,9,Q,10,
03/07/1996,156,J,7,7,J,
04/07/1996,157,A,J,7,A,
05/07/1996,158,8,J,10,10,
07/07/1996,159,9,A,10,A,
08/07/1996,160,J,K,A,10,
09/07/1996,161,9,A,7,9,
10/07/1996,162,9,J,7,7,
11/07/1996,163,7,7,7,9,
12/07/1996,164,7,9,10,K,
14/07/1996,165,9,9,7,J,
15/07/1996,166,K,Q,Q,7,
16/07/1996,167,K,K,K,A,
17/07/1996,168,9,A,Q,7,
18/07/1996,169,K,Q,7,8,
19/07/1996,170,Q,9,K,10,
21/07/1996,171,Q,A,Q,10,
22/07/1996,172,K,9,9,10,
23/07/1996,173,K,K,10,K,
24/07/1996,174,J,K,10,10,
25/07/1996,175,7,J,J,10,
26/07/1996,176,9,8,J,7,
28/07/1996,177,K,7,7,9,
29/07/1996,178,J,J,J,K,
30/07/1996,179,J,Q,A,J,
31/07/1996,180,K,8,K,Q,
01/08/1996,181,7,K,Q,7,
02/08/1996,182,9,J,7,Q,
04/08/1996,183,Q,10,Q,8,
05/08/1996,184,8,Q,8,A,
06/08/1996,185,8,A,A,9,
07/08/1996,186,J,Q,10,K,
08/08/1996,187,8,J,A,J,
09/08/1996,188,K,A,7,Q,
11/08/1996,189,A,Q,7,K,
12/08/1996,190,9,J,A,J,
13/08/1996,191,7,Q,Q,A,
14/08/1996,192,9,9,K,K,
15/08/1996,193,7,Q,9,7,
16/08/1996,194,10,9,8,J,
18/08/1996,195,8,9,7,10,
19/08/1996,196,K,J,7,9,
20/08/1996,197,10,K,K,J,
21/08/1996,198,8,8,J,A,
