תאריך,הגרלה,תלתן,יהלום,לב,עלה
10/02/2016,33089,8,8,8,10,
10/02/2016,33090,J,J,9,J,
10/02/2016,33091,A,7,Q,9,
11/02/2016,33092,Q,9,A,8,
11/02/2016,33093,9,A,9,8,
11/02/2016,33094,9,7,7,K,
11/02/2016,33095,Q,J,Q,K,
11/02/2016,33096,8,J,J,J,
11/02/2016,33097,A,J,9,7,
11/02/2016,33098,A,A,A,7,
12/02/2016,33099,K,10,A,A,
12/02/2016,33100,J,10,10,8,
12/02/2016,33101,Q,7,10,J,
13/02/2016,33102,K,J,Q,Q,
13/02/2016,33103,8,10,A,10,
14/02/2016,33104,8,10,10,J,
14/02/2016,33105,9,A,7,K,
14/02/2016,33106,K,10,8,J,
14/02/2016,33107,9,10,Q,Q,
14/02/2016,33108,9,A,8,7,
14/02/2016,33109,10,Q,10,7,
14/02/2016,33110,8,9,A,J,
15/02/2016,33111,8,Q,Q,A,
15/02/2016,33112,7,Q,K,10,
15/02/2016,33113,7,Q,Q,K,
15/02/2016,33114,7,Q,J,A,
15/02/2016,33115,Q,9,Q,7,
15/02/2016,33116,A,10,7,A,
15/02/2016,33117,Q,A,J,K,
16/02/2016,33118,8,Q,Q,K,
16/02/2016,33119,Q,Q,8,A,
16/02/2016,33120,A,J,7,8,
16/02/2016,33121,7,7,J,10,
16/02/2016,33122,Q,8,J,Q,
16/02/2016,33123,Q,K,Q,A,
16/02/2016,33124,J,A,8,K,
17/02/2016,33125,10,10,A,Q,
17/02/2016,33126,J,7,K,Q,
17/02/2016,33127,8,9,J,8,
17/02/2016,33128,9,A,A,A,
17/02/2016,33129,K,7,7,9,
17/02/2016,33130,J,8,7,10,
17/02/2016,33131,9,K,7,Q,
18/02/2016,33132,8,J,A,Q,
18/02/2016,33133,J,A,10,Q,
18/02/2016,33134,10,A,7,10,
18/02/2016,33135,A,10,7,7,
18/02/2016,33136,8,J,A,10,
18/02/2016,33137,7,J,K,Q,
18/02/2016,33138,A,J,7,9,
19/02/2016,33139,8,Q,A,7,
19/02/2016,33140,A,8,8,K,
19/02/2016,33141,8,Q,J,9,
20/02/2016,33142,7,A,7,J,
20/02/2016,33143,K,A,J,J,
21/02/2016,33144,7,7,10,8,
21/02/2016,33145,10,9,J,A,
21/02/2016,33146,7,A,9,9,
21/02/2016,33147,J,Q,K,7,
21/02/2016,33148,10,Q,10,A,
21/02/2016,33149,10,Q,Q,7,
21/02/2016,33150,9,K,8,Q,
22/02/2016,33151,K,9,Q,A,
22/02/2016,33152,J,7,K,K,
22/02/2016,33153,J,9,K,J,
22/02/2016,33154,8,Q,A,K,
22/02/2016,33155,8,Q,J,10,
22/02/2016,33156,J,7,K,7,
22/02/2016,33157,J,10,A,J,
23/02/2016,33158,10,K,9,10,
23/02/2016,33159,J,7,A,7,
23/02/2016,33160,A,8,J,K,
23/02/2016,33161,9,8,8,9,
23/02/2016,33162,10,7,7,10,
23/02/2016,33163,9,K,7,K,
23/02/2016,33164,10,K,Q,9,
24/02/2016,33165,J,J,A,K,
24/02/2016,33166,Q,K,Q,10,
24/02/2016,33167,J,K,8,9,
24/02/2016,33168,8,9,J,Q,
24/02/2016,33169,9,K,10,A,
24/02/2016,33170,7,A,Q,8,
24/02/2016,33171,9,9,10,J,
25/02/2016,33172,9,Q,J,J,
25/02/2016,33173,A,Q,9,8,
25/02/2016,33174,7,9,Q,Q,
25/02/2016,33175,9,8,7,10,
25/02/2016,33176,Q,7,7,8,
25/02/2016,33177,8,K,9,9,
25/02/2016,33178,Q,10,A,8,
26/02/2016,33179,10,8,8,8,
26/02/2016,33180,A,J,7,Q,
26/02/2016,33181,7,K,K,7,
27/02/2016,33182,A,J,Q,8,
27/02/2016,33183,7,Q,J,8,
28/02/2016,33184,Q,10,8,A,
28/02/2016,33185,A,8,K,J,
28/02/2016,33186,10,A,A,Q,
28/02/2016,33187,A,Q,8,Q,
28/02/2016,33188,J,J,10,10,
28/02/2016,33189,7,J,10,K,
28/02/2016,33190,Q,Q,10,7,
29/02/2016,33191,A,K,7,7,
29/02/2016,33192,7,10,J,A,
29/02/2016,33193,A,9,J,Q,
29/02/2016,33194,Q,8,7,K,
29/02/2016,33195,8,9,Q,7,
29/02/2016,33196,Q,10,J,8,
29/02/2016,33197,J,A,J,K,
01/03/2016,33198,K,9,A,K,
01/03/2016,33199,J,8,7,7,
01/03/2016,33200,9,Q,9,A,
01/03/2016,33201,8,9,8,7,
01/03/2016,33202,9,9,7,J,
01/03/2016,33203,7,J,9,8,
01/03/2016,33204,J,10,K,10,
02/03/2016,33205,9,Q,10,J,
02/03/2016,33206,A,8,10,10,
02/03/2016,33207,A,A,K,A,
02/03/2016,33208,A,10,J,9,
02/03/2016,33209,8,7,8,A,
02/03/2016,33210,K,J,K,A,
02/03/2016,33211,J,9,9,Q,
03/03/2016,33212,J,J,10,Q,
03/03/2016,33213,A,8,9,J,
03/03/2016,33214,8,10,8,8,
03/03/2016,33215,7,Q,7,9,
03/03/2016,33216,Q,8,9,9,
03/03/2016,33217,9,A,10,J,
03/03/2016,33218,9,8,J,Q,
04/03/2016,33219,Q,A,9,K,
04/03/2016,33220,9,J,9,7,
04/03/2016,33221,A,7,9,8,
05/03/2016,33222,A,A,A,J,
05/03/2016,33223,J,8,8,8,
06/03/2016,33224,10,8,J,9,
06/03/2016,33225,A,J,A,7,
06/03/2016,33226,J,10,A,7,
06/03/2016,33227,7,8,A,8,
06/03/2016,33228,K,K,K,K,
06/03/2016,33229,A,7,A,9,
06/03/2016,33230,K,8,9,A,
07/03/2016,33231,Q,J,8,A,
07/03/2016,33232,7,10,7,K,
07/03/2016,33233,7,10,Q,Q,
07/03/2016,33234,9,8,8,10,
07/03/2016,33235,A,K,10,10,
07/03/2016,33236,J,8,7,K,
07/03/2016,33237,Q,Q,A,10,
08/03/2016,33238,8,10,9,9,
08/03/2016,33239,A,10,K,A,
08/03/2016,33240,K,8,10,8,
08/03/2016,33241,J,9,9,7,
08/03/2016,33242,9,K,8,8,
08/03/2016,33243,Q,Q,K,7,
08/03/2016,33244,7,J,7,Q,
09/03/2016,33245,8,7,K,8,
09/03/2016,33246,J,J,K,8,
09/03/2016,33247,J,Q,10,9,
09/03/2016,33248,J,A,J,8,
09/03/2016,33249,J,9,A,7,
09/03/2016,33250,10,8,10,10,
09/03/2016,33251,A,8,9,J,
10/03/2016,33252,J,9,9,7,
10/03/2016,33253,9,7,9,9,
10/03/2016,33254,Q,10,9,8,
10/03/2016,33255,9,K,J,A,
10/03/2016,33256,9,7,7,J,
10/03/2016,33257,K,K,8,J,
10/03/2016,33258,9,A,9,Q,
11/03/2016,33259,8,A,7,9,
11/03/2016,33260,J,9,10,K,
11/03/2016,33261,8,K,J,Q,
12/03/2016,33262,J,J,10,J,
12/03/2016,33263,Q,K,A,Q,
13/03/2016,33264,7,Q,10,K,
13/03/2016,33265,8,K,J,Q,
13/03/2016,33266,10,J,7,10,
13/03/2016,33267,A,K,J,8,
13/03/2016,33268,J,K,K,7,
13/03/2016,33269,8,A,J,9,
13/03/2016,33270,8,7,7,8,
14/03/2016,33271,K,K,Q,J,
14/03/2016,33272,K,K,7,J,
14/03/2016,33273,A,7,7,9,
14/03/2016,33274,10,A,10,A,
14/03/2016,33275,Q,9,K,7,
14/03/2016,33276,K,9,Q,J,
14/03/2016,33277,K,K,K,7,
15/03/2016,33278,Q,7,8,K,
15/03/2016,33279,Q,7,8,A,
15/03/2016,33280,A,8,A,Q,
15/03/2016,33281,K,Q,9,K,
15/03/2016,33282,9,Q,J,K,
15/03/2016,33283,7,A,8,8,
15/03/2016,33284,A,Q,A,9,
16/03/2016,33285,7,10,7,9,
16/03/2016,33286,9,A,J,J,
16/03/2016,33287,A,A,8,7,
16/03/2016,33288,8,8,10,10,
16/03/2016,33289,K,K,9,8,
16/03/2016,33290,Q,Q,Q,10,
16/03/2016,33291,10,K,A,K,
17/03/2016,33292,A,8,K,J,
17/03/2016,33293,10,K,9,A,
17/03/2016,33294,9,K,9,A,
17/03/2016,33295,7,7,10,Q,
17/03/2016,33296,10,J,Q,10,
17/03/2016,33297,A,A,10,A,
17/03/2016,33298,A,K,K,10,
18/03/2016,33299,J,K,9,10,
18/03/2016,33300,10,J,J,Q,
18/03/2016,33301,9,8,8,10,
19/03/2016,33302,K,10,J,8,
19/03/2016,33303,Q,9,10,A,
20/03/2016,33304,7,A,Q,J,
20/03/2016,33305,K,9,J,9,
20/03/2016,33306,8,A,Q,J,
20/03/2016,33307,J,K,J,Q,
20/03/2016,33308,8,9,8,10,
20/03/2016,33309,J,10,K,10,
20/03/2016,33310,8,K,9,A,
21/03/2016,33311,Q,8,10,Q,
21/03/2016,33312,8,A,K,10,
21/03/2016,33313,9,8,9,7,
21/03/2016,33314,J,K,8,Q,
21/03/2016,33315,9,A,9,Q,
21/03/2016,33316,7,7,Q,J,
21/03/2016,33317,Q,10,K,9,
22/03/2016,33318,Q,8,7,9,
22/03/2016,33319,9,10,A,8,
22/03/2016,33320,Q,J,9,8,
22/03/2016,33321,7,8,10,8,
22/03/2016,33322,7,10,7,9,
22/03/2016,33323,A,K,K,Q,
22/03/2016,33324,K,A,K,9,
23/03/2016,33325,10,7,8,10,
23/03/2016,33326,A,9,9,7,
23/03/2016,33327,K,10,10,8,
23/03/2016,33328,9,A,Q,A,
23/03/2016,33329,9,A,10,J,
23/03/2016,33330,J,8,9,7,
23/03/2016,33331,7,K,10,9,
24/03/2016,33332,J,A,8,9,
24/03/2016,33333,9,9,K,A,
24/03/2016,33334,Q,9,7,Q,
24/03/2016,33335,K,Q,7,10,
24/03/2016,33336,J,J,A,9,
24/03/2016,33337,8,J,8,K,
24/03/2016,33338,7,Q,Q,10,
25/03/2016,33339,7,9,8,9,
25/03/2016,33340,7,9,10,K,
25/03/2016,33341,9,Q,9,8,
26/03/2016,33342,8,7,8,J,
26/03/2016,33343,10,J,8,8,
27/03/2016,33344,8,9,8,A,
27/03/2016,33345,K,9,A,8,
27/03/2016,33346,K,J,Q,A,
27/03/2016,33347,Q,8,Q,J,
27/03/2016,33348,7,A,J,Q,
27/03/2016,33349,8,8,8,K,
27/03/2016,33350,9,Q,9,8,
28/03/2016,33351,8,10,10,Q,
28/03/2016,33352,8,9,10,Q,
28/03/2016,33353,K,Q,10,K,
28/03/2016,33354,J,7,10,J,
28/03/2016,33355,K,Q,10,Q,
28/03/2016,33356,J,Q,Q,9,
28/03/2016,33357,8,J,J,7,
29/03/2016,33358,Q,Q,Q,9,
29/03/2016,33359,K,7,K,8,
29/03/2016,33360,A,Q,J,8,
29/03/2016,33361,7,A,A,J,
29/03/2016,33362,10,9,10,10,
29/03/2016,33363,K,10,9,A,
29/03/2016,33364,9,8,J,8,
30/03/2016,33365,A,8,A,J,
30/03/2016,33366,K,K,7,K,
30/03/2016,33367,A,7,7,Q,
30/03/2016,33368,9,K,10,7,
30/03/2016,33369,A,Q,10,Q,
30/03/2016,33370,J,10,J,J,
30/03/2016,33371,A,10,K,A,
31/03/2016,33372,J,7,J,9,
31/03/2016,33373,J,Q,A,8,
31/03/2016,33374,J,J,8,9,
31/03/2016,33375,J,9,J,J,
31/03/2016,33376,K,10,9,9,
31/03/2016,33377,Q,8,J,10,
31/03/2016,33378,A,10,K,J,
01/04/2016,33379,J,K,A,9,
01/04/2016,33380,8,Q,A,7,
01/04/2016,33381,10,Q,8,8,
02/04/2016,33382,Q,Q,A,Q,
02/04/2016,33383,J,A,K,10,
03/04/2016,33384,A,K,8,9,
03/04/2016,33385,A,10,J,9,
03/04/2016,33386,Q,8,A,10,
03/04/2016,33387,Q,7,A,J,
03/04/2016,33388,9,J,8,J,
03/04/2016,33389,7,10,9,9,
03/04/2016,33390,7,J,9,10,
04/04/2016,33391,9,7,A,7,
04/04/2016,33392,Q,10,A,7,
04/04/2016,33393,A,K,7,10,
04/04/2016,33394,9,J,10,J,
04/04/2016,33395,9,9,K,K,
04/04/2016,33396,J,7,J,K,
04/04/2016,33397,7,7,K,10,
05/04/2016,33398,8,8,K,J,
05/04/2016,33399,A,8,8,Q,
05/04/2016,33400,10,Q,9,J,
05/04/2016,33401,J,K,J,9,
05/04/2016,33402,Q,Q,10,8,
05/04/2016,33403,K,Q,J,J,
05/04/2016,33404,Q,9,Q,J,
06/04/2016,33405,7,K,K,7,
06/04/2016,33406,Q,Q,K,K,
06/04/2016,33407,A,10,10,J,
06/04/2016,33408,9,9,Q,J,
06/04/2016,33409,7,8,9,9,
06/04/2016,33410,8,K,J,10,
06/04/2016,33411,K,10,A,7,
07/04/2016,33412,9,7,K,Q,
07/04/2016,33413,K,10,Q,K,
07/04/2016,33414,A,7,9,9,
07/04/2016,33415,A,A,K,7,
07/04/2016,33416,Q,7,J,A,
07/04/2016,33417,J,9,Q,Q,
07/04/2016,33418,J,J,A,9,
08/04/2016,33419,K,K,9,K,
08/04/2016,33420,9,10,Q,K,
08/04/2016,33421,9,10,9,K,
09/04/2016,33422,J,K,8,9,
09/04/2016,33423,Q,K,9,Q,
10/04/2016,33424,7,J,A,Q,
10/04/2016,33425,9,10,Q,A,
10/04/2016,33426,Q,9,8,J,
10/04/2016,33427,Q,J,A,7,
10/04/2016,33428,7,A,7,10,
10/04/2016,33429,9,A,7,J,
10/04/2016,33430,10,8,A,10,
11/04/2016,33431,A,10,10,Q,
11/04/2016,33432,9,8,K,7,
11/04/2016,33433,A,A,Q,A,
11/04/2016,33434,Q,10,K,J,
11/04/2016,33435,A,J,J,A,
11/04/2016,33436,8,Q,J,A,
11/04/2016,33437,7,7,J,J,
12/04/2016,33438,10,J,Q,8,
12/04/2016,33439,J,10,7,7,
12/04/2016,33440,Q,Q,J,A,
12/04/2016,33441,10,7,10,Q,
12/04/2016,33442,Q,Q,10,A,
12/04/2016,33443,8,7,7,A,
12/04/2016,33444,10,J,J,10,
13/04/2016,33445,8,Q,8,7,
13/04/2016,33446,K,7,10,7,
13/04/2016,33447,9,J,7,9,
13/04/2016,33448,9,9,9,Q,
13/04/2016,33449,7,9,7,J,
13/04/2016,33450,A,9,8,A,
13/04/2016,33451,7,K,K,9,
14/04/2016,33452,Q,J,8,8,
14/04/2016,33453,7,Q,9,K,
14/04/2016,33454,K,J,9,10,
14/04/2016,33455,K,J,Q,10,
14/04/2016,33456,7,8,J,A,
14/04/2016,33457,10,10,K,A,
14/04/2016,33458,A,Q,9,7,
15/04/2016,33459,7,J,A,A,
15/04/2016,33460,10,K,7,8,
15/04/2016,33461,Q,9,Q,7,
16/04/2016,33462,8,9,A,10,
16/04/2016,33463,8,A,7,K,
17/04/2016,33464,J,J,9,K,
17/04/2016,33465,8,7,10,A,
17/04/2016,33466,9,9,A,A,
17/04/2016,33467,K,7,J,10,
17/04/2016,33468,7,K,J,A,
17/04/2016,33469,K,Q,7,J,
17/04/2016,33470,A,K,9,9,
18/04/2016,33471,J,10,8,8,
18/04/2016,33472,K,J,8,9,
18/04/2016,33473,9,Q,9,K,
18/04/2016,33474,A,10,8,K,
18/04/2016,33475,J,Q,8,A,
18/04/2016,33476,Q,A,8,Q,
18/04/2016,33477,8,8,10,Q,
19/04/2016,33478,A,8,10,7,
19/04/2016,33479,10,Q,Q,9,
19/04/2016,33480,K,Q,10,J,
19/04/2016,33481,9,10,A,7,
19/04/2016,33482,Q,9,A,J,
19/04/2016,33483,7,A,J,9,
19/04/2016,33484,10,10,K,9,
20/04/2016,33485,10,A,J,A,
20/04/2016,33486,10,A,7,A,
20/04/2016,33487,7,A,Q,7,
20/04/2016,33488,8,10,K,J,
20/04/2016,33489,K,7,Q,K,
20/04/2016,33490,J,Q,7,7,
20/04/2016,33491,J,K,K,K,
21/04/2016,33492,8,J,Q,A,
21/04/2016,33493,7,8,8,K,
21/04/2016,33494,9,7,10,7,
21/04/2016,33495,9,Q,8,10,
21/04/2016,33496,Q,9,J,10,
21/04/2016,33497,10,10,8,9,
21/04/2016,33498,10,K,7,7,
22/04/2016,33499,J,J,8,J,
22/04/2016,33500,7,7,7,10,
22/04/2016,33501,8,9,10,10,
23/04/2016,33502,7,J,Q,9,
23/04/2016,33503,Q,A,8,J,
24/04/2016,33504,K,8,K,A,
24/04/2016,33505,Q,A,Q,K,
24/04/2016,33506,A,A,9,8,
24/04/2016,33507,A,Q,Q,Q,
24/04/2016,33508,8,A,A,10,
24/04/2016,33509,8,9,10,9,
24/04/2016,33510,8,8,A,J,
25/04/2016,33511,A,7,9,8,
25/04/2016,33512,J,A,9,8,
25/04/2016,33513,A,Q,K,8,
25/04/2016,33514,7,7,8,7,
25/04/2016,33515,7,8,J,9,
25/04/2016,33516,J,Q,J,9,
25/04/2016,33517,7,J,A,J,
26/04/2016,33518,7,K,8,7,
26/04/2016,33519,10,10,7,J,
26/04/2016,33520,Q,J,A,Q,
26/04/2016,33521,9,J,K,Q,
26/04/2016,33522,9,Q,J,Q,
26/04/2016,33523,K,9,9,K,
26/04/2016,33524,9,8,8,K,
27/04/2016,33525,7,7,7,8,
27/04/2016,33526,J,Q,K,K,
27/04/2016,33527,8,Q,Q,10,
27/04/2016,33528,J,9,J,10,
27/04/2016,33529,8,7,7,7,
27/04/2016,33530,7,K,7,Q,
27/04/2016,33531,K,K,Q,A,
28/04/2016,33532,Q,K,Q,A,
28/04/2016,33533,7,J,7,J,
28/04/2016,33534,7,J,10,K,
30/04/2016,33535,10,J,Q,7,
30/04/2016,33536,10,J,7,K,
01/05/2016,33537,A,9,A,8,
01/05/2016,33538,7,10,K,A,
01/05/2016,33539,Q,9,8,Q,
01/05/2016,33540,K,Q,Q,8,
01/05/2016,33541,9,A,7,9,
01/05/2016,33542,J,9,K,K,
01/05/2016,33543,A,A,7,10,
02/05/2016,33544,7,9,Q,J,
02/05/2016,33545,A,Q,10,A,
02/05/2016,33546,9,9,J,9,
02/05/2016,33547,9,10,10,7,
02/05/2016,33548,K,K,K,Q,
02/05/2016,33549,J,10,8,10,
02/05/2016,33550,9,J,J,Q,
03/05/2016,33551,9,8,8,10,
03/05/2016,33552,9,A,8,10,
03/05/2016,33553,10,9,8,K,
03/05/2016,33554,K,A,9,7,
03/05/2016,33555,J,10,10,7,
03/05/2016,33556,J,Q,K,K,
03/05/2016,33557,Q,10,9,9,
04/05/2016,33558,A,J,A,10,
04/05/2016,33559,8,Q,10,9,
04/05/2016,33560,J,J,K,Q,
04/05/2016,33561,9,A,Q,10,
04/05/2016,33562,7,K,7,7,
05/05/2016,33563,8,J,7,7,
05/05/2016,33564,K,A,7,Q,
06/05/2016,33565,9,9,7,Q,
06/05/2016,33566,7,Q,8,J,
06/05/2016,33567,J,8,K,10,
07/05/2016,33568,Q,9,10,8,
07/05/2016,33569,J,10,J,9,
08/05/2016,33570,Q,A,9,K,
08/05/2016,33571,7,10,8,8,
08/05/2016,33572,7,Q,J,A,
08/05/2016,33573,8,9,7,10,
08/05/2016,33574,7,8,K,K,
08/05/2016,33575,J,8,K,8,
08/05/2016,33576,K,10,A,A,
09/05/2016,33577,10,K,Q,A,
09/05/2016,33578,9,10,Q,Q,
09/05/2016,33579,9,A,A,Q,
09/05/2016,33580,A,Q,7,J,
09/05/2016,33581,K,A,8,Q,
09/05/2016,33582,10,10,K,A,
09/05/2016,33583,9,A,J,9,
10/05/2016,33584,J,K,8,K,
10/05/2016,33585,10,10,8,9,
10/05/2016,33586,A,8,A,10,
10/05/2016,33587,Q,Q,10,7,
10/05/2016,33588,K,8,J,J,
11/05/2016,33589,8,8,K,Q,
11/05/2016,33590,K,K,A,8,
12/05/2016,33591,J,10,10,J,
12/05/2016,33592,Q,Q,7,K,
12/05/2016,33593,J,J,7,10,
12/05/2016,33594,J,10,A,J,
12/05/2016,33595,J,Q,10,9,
12/05/2016,33596,8,A,A,8,
12/05/2016,33597,10,J,A,7,
13/05/2016,33598,10,10,Q,J,
13/05/2016,33599,9,A,9,7,
13/05/2016,33600,10,Q,7,J,
14/05/2016,33601,K,J,7,J,
14/05/2016,33602,Q,8,Q,K,
15/05/2016,33603,8,8,10,10,
15/05/2016,33604,J,8,9,K,
15/05/2016,33605,A,K,7,A,
15/05/2016,33606,J,A,9,A,
15/05/2016,33607,9,J,K,10,
15/05/2016,33608,J,J,7,9,
15/05/2016,33609,8,A,Q,K,
16/05/2016,33610,10,7,10,9,
16/05/2016,33611,7,7,A,J,
16/05/2016,33612,7,A,7,9,
16/05/2016,33613,K,J,Q,10,
16/05/2016,33614,9,A,10,10,
16/05/2016,33615,7,10,J,7,
16/05/2016,33616,7,J,9,A,
17/05/2016,33617,10,9,K,8,
17/05/2016,33618,J,J,10,7,
17/05/2016,33619,Q,7,7,9,
17/05/2016,33620,7,Q,Q,10,
17/05/2016,33621,Q,A,Q,K,
17/05/2016,33622,K,9,A,10,
17/05/2016,33623,10,10,10,9,
18/05/2016,33624,K,8,7,10,
18/05/2016,33625,Q,J,A,J,
18/05/2016,33626,9,J,7,K,
18/05/2016,33627,7,7,9,K,
18/05/2016,33628,A,Q,J,8,
18/05/2016,33629,7,J,9,9,
18/05/2016,33630,8,8,7,Q,
19/05/2016,33631,A,7,J,K,
19/05/2016,33632,A,9,A,10,
19/05/2016,33633,10,A,9,7,
19/05/2016,33634,8,10,J,9,
19/05/2016,33635,Q,8,A,A,
19/05/2016,33636,Q,K,8,A,
19/05/2016,33637,J,J,J,8,
20/05/2016,33638,9,10,J,9,
20/05/2016,33639,10,7,7,Q,
20/05/2016,33640,9,K,8,9,
21/05/2016,33641,7,10,J,Q,
21/05/2016,33642,9,10,9,10,
22/05/2016,33643,7,8,A,J,
22/05/2016,33644,J,10,Q,A,
22/05/2016,33645,Q,10,8,Q,
22/05/2016,33646,8,K,J,9,
22/05/2016,33647,K,K,7,8,
22/05/2016,33648,K,7,9,8,
22/05/2016,33649,K,8,Q,A,
23/05/2016,33650,J,9,10,10,
23/05/2016,33651,A,9,8,Q,
23/05/2016,33652,K,9,Q,10,
23/05/2016,33653,9,J,A,Q,
23/05/2016,33654,9,9,7,10,
23/05/2016,33655,A,Q,9,A,
23/05/2016,33656,10,7,10,9,
24/05/2016,33657,J,7,7,8,
24/05/2016,33658,J,Q,K,10,
24/05/2016,33659,8,Q,7,Q,
24/05/2016,33660,9,J,J,10,
24/05/2016,33661,8,K,10,8,
24/05/2016,33662,K,10,10,A,
24/05/2016,33663,A,7,A,Q,
25/05/2016,33664,8,8,8,9,
25/05/2016,33665,10,K,J,K,
25/05/2016,33666,Q,10,J,8,
25/05/2016,33667,9,J,A,9,
25/05/2016,33668,J,J,10,8,
25/05/2016,33669,K,A,J,J,
25/05/2016,33670,A,8,K,10,
26/05/2016,33671,J,10,10,K,
26/05/2016,33672,9,9,J,9,
26/05/2016,33673,Q,8,8,A,
26/05/2016,33674,J,A,K,9,
26/05/2016,33675,7,Q,K,K,
26/05/2016,33676,7,9,9,A,
26/05/2016,33677,A,J,J,J,
27/05/2016,33678,8,9,Q,Q,
27/05/2016,33679,10,9,K,J,
27/05/2016,33680,9,J,9,10,
28/05/2016,33681,K,7,A,J,
28/05/2016,33682,J,10,K,J,
29/05/2016,33683,7,J,Q,Q,
29/05/2016,33684,7,7,8,7,
29/05/2016,33685,8,10,Q,A,
29/05/2016,33686,Q,Q,A,10,
29/05/2016,33687,8,7,8,8,
29/05/2016,33688,K,8,Q,Q,
29/05/2016,33689,8,J,9,10,
30/05/2016,33690,Q,10,J,7,
30/05/2016,33691,K,K,J,9,
30/05/2016,33692,10,J,7,A,
30/05/2016,33693,7,K,Q,A,
30/05/2016,33694,9,Q,A,10,
30/05/2016,33695,J,J,8,J,
30/05/2016,33696,Q,J,K,A,
31/05/2016,33697,9,8,8,8,
31/05/2016,33698,7,9,7,10,
31/05/2016,33699,8,K,J,7,
31/05/2016,33700,9,10,Q,K,
31/05/2016,33701,Q,7,A,Q,
31/05/2016,33702,9,A,J,7,
31/05/2016,33703,A,A,8,Q,
01/06/2016,33704,7,8,K,K,
01/06/2016,33705,K,A,9,7,
01/06/2016,33706,J,9,8,7,
01/06/2016,33707,J,K,8,J,
01/06/2016,33708,Q,J,J,Q,
01/06/2016,33709,9,8,8,10,
01/06/2016,33710,J,9,8,Q,
02/06/2016,33711,10,A,7,J,
02/06/2016,33712,Q,9,10,8,
02/06/2016,33713,10,K,Q,K,
02/06/2016,33714,K,K,J,J,
